183,WISTERIA MALL,1. Permanent E-bin,"598 YISHUN RING RD,WISTERIA MALL,BASEMENT 1 CARGO LIFT LOBBY",768698,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.417999263,103.8
412365",,,

184,WOODGROVE CC,1.Permanent E-bin,"353 WOODLANDSAVENUE 1,WOODGROVE CC, VOIDDECK",730353,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.431816487,103.7
851624",,,

185,WOODLANDSCC,1.Permanent E-bin,"1 WOODLANDS STREET 81,WOODLANDS CC, MAIN ENTRANCE LOBBY",738526,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.439730349,103.7
882354",,,

186,WOODLANDSGALAXY CC,1. Permanent E-bin,"31 WOODLANDS AVENUE 6, WOODLANDSGALAXY CC, CC OFFICEENTRANCE",738991,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.439041615,103.8
02611",,,

187,WOODLANDSMART,1.Permanent E-bin,"768 WOODLANDSAVENUE 6,WOODLANDS MART, MAIN LOBBY",730768,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.445717841,103.7
981663",,,

188,WOODLANDSPARK NC,1.Permanent E-bin,18 JALAN RASOK,739633,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.416643148,103.7
592569",,,

189,WOODLANDSZONE2 RN,1.Permanent E-bin,"846 WOODLANDS AVENUE4,WOODLANDS ZONE2 RN, VOID DECK",730846,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.443302603,103.7
934746",,,

190,WOODLANDSZONE3 RN,1.Permanent E-bin,"876 WOODLANDS STREET 83, WOODLANDS ZONE3 RN, VOID DECK",730876,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.444796301,103.7
906028",,,

191,WOODLANDSZONE4 RN,1.Permanent E-bin,"862 WOODLANDS STREET 83, WOODLANDS ZONE4 RN, #01-184,VOID DECK",730862,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.439955084,103.7
950489",,,

192,WOODLANDSZONE7 RN,1.Permanent E-bin,"611 WOODLANDS RING ROAD,WOODLANDS ZONE7 RN, VOID DECK",730611,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.435426092,103.7
969988",,,

193,WOODLANDSZONE8 RN,1.Permanent E-bin,"638 WOODLANDS RING ROAD,WOODLANDS ZONE8 RN, VOID DECK",730638,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.436717378,103.8
031925",,,

194,WOODLANDSZONE9 RN,1.Permanent E-bin,"656 WOODLANDS RING ROAD,WOODLANDS ZONE9 RN, VOID DECK",730656,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.436985964,103.7
991179",,,

195,YEWTEE CC,1. Permanent E-bin,"20 CHOA CHU KANG STREET 52, YEWTEE CC, MAINATRIUM",689286,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.394805646,103.7
449713",,,

196,YEWTEE SQUARE,1. Permanent E-bin,"624 CHOA CHU KANG STREET 62,YEWTEE SQUARE, REAR ENTRANCE",680622,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.398277196,103.7
471825",,,

197,YIO CHU KANG CC,1.Permanent E-bin,"50 ANG MO KIO STREET 61, MAIN LOBBY",569163,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.381517276,103.8
414281",,,

198,YUHUA CC,1.Permanent E-bin,"90 BOON LAY WAY,MAIN LOBBY",609958,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.33997286,103.73
70659",,,

199,YUSOFISHAK INSTITUTE,1. Permanent E-bin,"30 HENG MUI KENG TERRACE, LEVEL 1",119614,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.291451395,103.7
76784",,,

200,ZHONGSHAN MALL,1.Permanent E-bin,"20 AH HOODROAD,ZHONGSHAN MALL",329984,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.327084855,103.8
464765",,,

201,COLD STORAGE @ APERIA,2. Retailer E-bin,"12 KALLANG AVE,APERIA, #01-47",339511,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.30974242,103.86
41016",,,

202,COLD STORAGE @ BUGIS JUNCTION,2. Retailer E-bin,"230 VICTORIA STREET, BUGIS JUNCTION,#B1-17",188021,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.299116774,103.8
554824",,,


203,COLD STORAGE @ CLUNY COURT,2. Retailer E-bin,"501 BUKIT TIMAH ROAD,CLUNY COURT, #01-02",259760,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.322573169,103.8
142455",,,

204,COLD STORAGE @ COMPASS ONE,2. Retailer E-bin,"1 SENGKANG SQUARE, COMPASS ONE, #B1-25",545078,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.392194156,103.8
9498",,,

205,COLD STORAGE @ GREAT WORLDCITY,2. Retailer E-bin,"1 KIMSENG PROMENADE, GREAT WORLD CITY, #B1-18",237994,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.293902351,103.8
317579",,,

206,COLD STORAGE @ GUTHRIE HOUSE,2.Retailer E-bin,"1 FIFTH AVENUE, GUTHRIE HOUSE,#01-05",268802,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.330774928,103.7
957134",,,

207,COLD STORAGE @ HILLVIEWMARKET PLACE,2. Retailer E-bin,"4 HILLVIEW RISE, HILLVIEWMARKET PLACE, #02-07",667979,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.363550958,103.7
642361",,,

208,COLD STORAGE @ JELITA SHOPPING CENTRE,2. Retailer E-bin,"293 HOLLAND ROAD,JELITA SHOPPING CENTRE, #01-01",278628,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.317561967,103.7
858406",,,

209,COLD STORAGE @ KALLANG LEISUREPARK,2. Retailer E-bin,"5 STADIUM WALK,KALLANG LEISUREPARK,#B1-01",397693,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.3020917,103.876
1569",,,

210,COLD STORAGE @ MARINA ONE,2.Retailer E-bin,"5 STRAITS VIEW, #B2-15",18935,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.276628462,103.8
525926",,,

211,COLD STORAGE @ NOVENASQUARE,2.Retailer E-bin,"238 THOMSON ROAD,NOVENA SQUARE, #01-28",307683,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.320211007,103.8
436568",,,

212,COLD STORAGE @ ONENORTH,2.Retailer E-bin,"1 FUSIONOPOLIS WAY, ONENORTH, #B2-03",138632,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.299598572,103.7
876409",,,

213,COLD STORAGE @ PARAGON,2. Retailer E-bin,"290 ORCHARD ROAD,#B1-21",238859,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.303225071,103.8
356802",,,

214,COLD STORAGE @ PARKWAY PARADE,2.Retailer E-bin,"80 MARINE PARADE ROAD,#B1-84",449269,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.300768325,103.9
053594",,,

215,COLD STORAGE @ PLAZASINGAPURA,2. Retailer E-bin,"68 ORCHARD ROAD,#B2-15",238839,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.300808971,103.8
449936",,,

216,COLD STORAGE @ RAFFLES CITY SHOPPING CENTRE,2.Retailer E-bin,"1 STAMFORD ROAD,RAFFLESCITY SHOPPING CENTRE, #B1-01",179103,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.293760281,103.8
527683",,,

217,COLD STORAGE @ SIGLAP V,2. Retailer E-bin,"2 FIRST STREET, #01-05",458278,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.313029837,103.9
234684",,,

218,COLD STORAGE @ TANGLINMALL,2. Retailer E-bin,"163 TANGLIN ROAD,TANGLIN MALL,#B1-01",247933,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.304853421,103.8
238835",,,

219,COLD STORAGE @ THESTAR VISTA,2.Retailer E-bin,"1 VISTA EXCHANGE GREEN,THESTAR VISTA, #B1-02",138617,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.306815007,103.7
884627",,,

220,COLD STORAGE @ UESQUARE,2. Retailer E-bin,"81 CLEMENCEAU AVENUE, UE SQUARE,#02-15",239917,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.292259585,103.8
42561",,,

221,COLD STORAGE @ UNITED SQUARE,2. Retailer E-bin,"101 THOMSON ROAD, UNITED SQUARE, #B1-29",307591,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.317428008,103.8
436708",,,

222,COLD STORAGE @ WEST COAST PLAZA,2.Retailer E-bin,"154 WEST COAST ROAD,WEST COAST PLAZA, #B1-19",127371,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.303586225,103.7
661038",,,

223,FAIRPRICE @ 10 BUKIT BATOKCENTRAL,2. Retailer E-bin,"10 BUKIT BATOKCENTRAL, #01-08",659958,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.349034109,103.7
495668",,,

224,FAIRPRICE @ 100AM,2.Retailer E-bin,"100 TRAS ST, 100AM,#B1-01",79027,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.275003924,103.8
43566",,,

225,FAIRPRICE @ 111 SOMERSET RD,2.Retailer E-bin,"111 SOMERSET RD,#01-21 TO 30",238164,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.300356387,103.8
371515",,,

226,FAIRPRICE @ 114 ALJUNIED AVE 2,2.Retailer E-bin,"114 ALJUNIED AVE 2,#01-75",380114,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.321606561,103.8
868113",,,

227,FAIRPRICE @ 135 JURONG GATEWAY RD,2. Retailer E-bin,"135 JURONG GATEWAY RD, #01-337",600135,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.333894226,103.7
396908",,,

228,FAIRPRICE @ 140 TECK WHYE LANE,2. Retailer E-bin,"140 TECKWHYE LANE, #01-351",680140,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.380018058,103.7
531484",,,

229,FAIRPRICE @ 166 BUKIT MERAH CENTRAL,2. Retailer E-bin,"166 BUKIT MERAH CENTRAL,#01-3531 & 02-3531",150166,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.283092626,103.8
176672",,,

230,FAIRPRICE @ 18 TAISENG ST MAPLETREE,2. Retailer E-bin,"18 TAISENG ST MAPLETREE 18, #B1-13",539775,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.336155621,103.8
888084",,,

231,FAIRPRICE @ 192 TOA PAYOH LOR 4,2. Retailer E-bin,"192 TOA PAYOH LOR 4,#01-670/672",310192,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.331776343,103.8
506503",,,

232,FAIRPRICE @ 202 HOUGANG ST 21,2.Retailer E-bin,"202 HOUGANG ST 21,#01-00",530202,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.357647732,103.8
841598",,,

233,FAIRPRICE @ 212 BEDOK NTH ST,2. Retailer E-bin,"212 BEDOK NTH ST 1,#01-147",460212,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.32600153,103.93
15492",,,

234,FAIRPRICE @ 28 DOVER CRESCENT,2.Retailer E-bin,"28 DOVER CRESCENT, 28 DOVER CRESCENT, #01-83",130028,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.304460927,103.7
817797",,,

235,FAIRPRICE @ 29B CHAICHEE AVENUE,2.Retailer E-bin,"29B CHAICHEE AVENUE, #01-62",462029,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.324321307,103.9
236776",,,

236,FAIRPRICE @ 345 JURONG EAST ST 31,2. Retailer E-bin,"345 JURONG EAST ST 31, #01-29",600345,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.345512106,103.7
312191",,,

237,FAIRPRICE @ 355 SEMBAWANG WAY,2.Retailer E-bin,"355 SEMBAWANG WAY,#01-01",750355,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.449637169,103.8
184808",,,

238,FAIRPRICE @ 36 HOLLAND DR,2. Retailer E-bin,"36 HOLLAND DR,#01-03/04/05",270036,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.309229842,103.7
926609",,,

239,FAIRPRICE @ 414 YISHUN RING RD,2.Retailer E-bin,"414 YISHUN RING RD,#01-185",760414,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.424566278,103.8
466227",,,

240,FAIRPRICE @ 451 AVE3,2.Retailer E-bin,"451 CLEMENTIAVE3, 451 AVE 3, #01-307",120451,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.312482985,103.7
654768",,,

241,FAIRPRICE @ 460 ALEXANDRA RD,2.Retailer E-bin,"460 ALEXANDRARD, 460 ALEXANDRA RD, #01-09 AND #01-16",119963,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.274148936,103.8
013994",,,

242,FAIRPRICE @ 475 TAMPINES ST44,2.Retailer E-bin,"475 TAMPINESST 44,#01-145",520475,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.360365173,103.9
535119",,,

243,FAIRPRICE @ 5 UPPER BOON KENG RD,2. Retailer E-bin,"5 UPPER BOON KENG RD, #01-05",80005,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.312524543,103.8
726959",,,

244,FAIRPRICE @ 50 HAVELOCKRD,2. Retailer E-bin,"50 HAVELOCK RD, 50 HAVELOCKRD, #01-755",160050,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.289764755,103.8
268029",,,

245,FAIRPRICE @ 500 LOR 6 TOA PAYOH,2.Retailer E-bin,"500 LOR 6 TOAPAYOH,#B1-32/#01-33",310500,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.332903984,103.8
47098",,,

246,FAIRPRICE @ 502 WEST COAST DR,2.Retailer E-bin,"502 WEST COAST DR, 502 WEST COAST DR,#01-41",120502,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.311885959,103.7
590809",,,

247,FAIRPRICE @ 51 UPPER SERANGOON RD,2. Retailer E-bin,"51 UPPER SERANGOON RD,THE POIZCENTRE, #01-30 TO 32, 41 TO 49",347697,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.331752637,103.8
685228",,,

248,FAIRPRICE @ 510 BISHAN ST 13,2.Retailer E-bin,"510 BISHAN ST 13,#01-520",570510,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.348888439,103.8
49692",,,

249,FAIRPRICE @ 511 CANBERRARD,2.Retailer E-bin,"511 CANBERRA RD, #02-03",750511,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.453644984,103.8
196762",,,

250,FAIRPRICE @ 6 MARINE PARADE CENTRAL,2. Retailer E-bin,6 MARINE PARADE CENTRAL,449411,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.301475025,103.9
070696",,,

251,FAIRPRICE @ 612/620 GEYLANG LOR 38,2. Retailer E-bin,612/620 GEYLANG LOR 38,389551,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.314183669,103.8
884343",,,

252,FAIRPRICE @ 66 YUNG KANG RD,2.Retailer E-bin,"63/66 YUNG KUANG RD, 66 YUNG KANG RD, #01-119 AND #02-119",610063,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.332213982,103.7
226916",,,

253,FAIRPRICE @ 71 KALLANG BAHRU,2. Retailer E-bin,"71 KALLANG BAHRU,#01-529/#02-531",330071,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.32093152,103.87
05739",,,


254,FAIRPRICE @ 712 ANG MO KIO,2.Retailer E-bin,"712 ANG MO KIO AVE 6, 712 ANG MO KIO,#01-4056",560712,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.371410968,103.8
470845",,,

255,FAIRPRICE @ 80 LORONG LIMAU,2.Retailer E-bin,"80 LORONG LIMAU,#01-19",320080,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.323859877,103.8
558203",,,

256,FAIRPRICE @ 808 FRENCH RD,2.Retailer E-bin,"808 FRENCH RD #01-01, #01-01",200808,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.308849671,103.8
619691",,,

257,FAIRPRICE @ 849 YISHUN RING RD,2.Retailer E-bin,"849 YISHUN RING RD,#01-370",760849,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.417102125,103.8
353601",,,

258,FAIRPRICE @ 866A TAMPINES ST 83,2. Retailer E-bin,"866A TAMPINES ST 83, #01-01",521866,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.355491073,103.9
346655",,,

259,FAIRPRICE @ 888 WOODLANDSDR 50,2. Retailer E-bin,"888 WOODLANDS DR 50, #01-757",730888,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.437130524,103.7
952899",,,

260,FAIRPRICE @ BEDOK MALL,2. Retailer E-bin,"311 NEWUPPER CHANGI RD, BEDOK MALL, #B2-60",467360,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.324406221,103.9
286782",,,

261,FAIRPRICE @ BOON LAY SHOPPING CENTRE,2.Retailer E-bin,"221 BOON LAY PLACE, BOON LAY SHOPPING CENTRE, #02-200",640221,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.346373764,103.7
124728",,,

262,FAIRPRICE @ BUKIT PANJANG PLAZA,2.Retailer E-bin,"1 JELEBU RD,BUKIT PANJANG PLAZA, #01-15 & #02-20",677743,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.379916507,103.7
643171",,,

263,FAIRPRICE @ BUKIT TIMAH PLAZA,2.Retailer E-bin,"1 JLNANAK BUKIT,BUKIT TIMAH PLAZA, #B1-01 & #B2-01",588996,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.338756776,103.7
785605",,,

264,FAIRPRICE @ CANBERRAPLAZA,2.Retailer E-bin,"133 CANBERRA VIEW, CANBERRA PLAZA, #B1-03/04",750133,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.443362873,103.8
307408",,,

265,FAIRPRICE @ CHANGICITY POINT,2.Retailer E-bin,"5 CHANGI BUSINESSPARKCENTRAL 1,CHANGI CITY POINT,#B1-09/10/11",486038,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.334241021,103.9
62728",,,

266,FAIRPRICE @ CHINATOWN POINT,2.Retailer E-bin,"133 NEWBRIDGE RD, CHINATOWN POINT, #B1-01",59413,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.285689263,103.8
452341",,,

267,FAIRPRICE @ CITY SQUAREMALL,2.Retailer E-bin,"180 KITCHENER RD,CITY SQUARE MALL,#B1-09/10",208539,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.311397097,103.8
565898",,,

268,FAIRPRICE @ COMPASSVALELINK,2.Retailer E-bin,"277C COMPASSVALELINK, #01-13",544277,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.382285858,103.8
94052",,,

269,FAIRPRICE @ DAWSON PLACE,2. Retailer E-bin,"57 DAWSON RD,DAWSON PLACE, #01-07",142057,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.292702527,103.8
109718",,,

270,FAIRPRICE @ DEPOT HEIGHTS SHOPPING CENTRE,2. Retailer E-bin,"108 DEPOT RD,DEPOT HEIGHTS SHOPPING CENTRE, #01-01",100108,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.280966807,103.8
102982",,,

271,FAIRPRICE @ EASTPOINT,2. Retailer E-bin,"3 SIMEIST 6, EASTPOINT, #05-01",528833,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.342693047,103.9
530415",,,

272,FAIRPRICE @ HILLION MALL,2. Retailer E-bin,"17 PETIR RD,HILLION MALL,#B2-67",678278,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.378489221,103.7
631502",,,

273,FAIRPRICE @ HOMETEAM NSBUKIT BATOKCLUBHOUSE,2. Retailer E-bin,"2 BUKIT BATOK WEST AVE7,HOMETEAM NSBUKIT BATOKCLUBHOUSE, #01-10",659003,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.365773912,103.7
485209",,,

274,FAIRPRICE @ HOUGANG MALL,2.Retailer E-bin,"90 HOUGANG AVE 10, HOUGANG MALL, #B1-07",538766,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.372589908,103.8
937222",,,

275,FAIRPRICE @ JOO CHIAT COMPLEX,2.Retailer E-bin,"2 JOO CHIAT RD, JOO CHIAT COMPLEX,#01-1139 / #02-1139",420002,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.315336447,103.8
984817",,,

276,FAIRPRICE @ JUNCTION 8 SHOPPING CENTRE,2. Retailer E-bin,"9 BISHAN PLACE,JUNCTION 8 SHOPPING CENTRE, #B1-01",579837,,E-wasteaccepted: Batteries and Lamps only,https://alba-ewaste.sg,
